QID,QUESTION,CORRECT ANSWER,A,B,C,D,E,F,EXPLANATION/NOTES,Snowflake Documentation,Image URL,Topic(s)
869,Which common query problems are identified by the Query Profile? (Choose two.),"B,C",Syntax error,Queries too large to fit in memory,Inefficient pruning,Ambiguous column names,Object does not exist or not authorized,,"Pruning - information on the effects of table pruning.\n

Spilling — information about disk usage for operations where intermediate results do not fit in memory.",https://docs.snowflake.com/en/user-guide/ui-query-profile#statistics,,"Snowflake AI Data Cloud Features and Architecture, Performance Concepts"
870,"Which Snowflake function is maintained separately from the data and helps to support features such as Time Travel, Secure Data Sharing, and pruning?",A,Metadata management,Column compression,Micro-partitioning,Data clustering,,,"Metadata management in Snowflake is maintained separately from the actual data in Cloud Service Layer.\n

Metadata management in Snowflake plays a crucial role in supporting advanced features such as Time Travel, Secure Data Sharing, and pruning.",https://docs.snowflake.com/en/user-guide/intro-key-concepts#snowflake-architecture,,Snowflake AI Data Cloud Features and Architecture
871,Which function should be used to find the query ID of the second query executed in a current session?,C,Select LAST_QUERY_ID(-1),Select LAST_QUERY_ID(1),Select LAST_QUERY_ID(2),Select LAST_QUERY_ID(-2),,,"Positive numbers start with the first query executed in the session. For example:\n

LAST_QUERY_ID(1) returns the first query.\n

LAST_QUERY_ID(2) returns the second query.\n

LAST_QUERY_ID(6) returns the sixth query.\n

Etc.\n

Negative numbers start with the most recently-executed query in the session. For example:\n

LAST_QUERY_ID(-1) returns the most recently-executed query (equivalent to LAST_QUERY_ID()).\n

LAST_QUERY_ID(-2) returns the second most recently-executed query.\n",https://docs.snowflake.com/en/sql-reference/functions/last_query_id,,Data Transformations
872,Which view can be used to determine if a table has frequent row updates or deletes?,C,STORAGE_USAGE,TABLES,TABLE_STORAGE_METRICS,STORAGE_DAILY_HISTORY,,,,https://docs.snowflake.com/en/sql-reference/info-schema/table_storage_metrics,,Data Transformations
873,"If a multi-cluster warehouse is using an economy scaling policy, how long will queries wait in the queue before another cluster is started?",A,6 minutes,2 minutes,8 minutes,1 minute,,,,https://docs.snowflake.com/en/user-guide/warehouses-multicluster#setting-the-scaling-policy-for-a-multi-cluster-warehouse,,Performance Concepts
874,What are characteristics of Snowflake directory fables? (Choose two.),"C,D",Directory tables are separate database objects.,Directory tables contain copies of staged files in binary format.,Directory tables store file-level metadata about the data files in a stage.,"A directory table can be added to a stage when the stage is created, or later.",Directory tables can only be used with an external stage.,,"A directory table is an implicit object layered on a stage and it stores file-level metadata about the data files in the stage.\n

You can add a directory table to a stage when you create a stage (using CREATE STAGE) or later (using ALTER STAGE).",https://docs.snowflake.com/en/user-guide/data-load-dirtables,,Data Loading and Unloading
875,What are characteristics of transient tables in Snowflake? (Choose two.),"B,D",Transient tables have a Fail-safe period of 7 days.,Transient tables have Time Travel retention periods of 0 or 1 day.,Transient tables can be cloned to permanent tables.,Transient tables persist until they are explicitly dropped.,Transient tables can be altered to make them permanent tables.,,"Transient tables are a type of table in Snowflake that persist until they are explicitly dropped. They do not have a Fail-safe period, and they can only have a Time Travel retention period of 0 or 1 day. Transient tables cannot be cloned to permanent tables, and they cannot be altered to make them permanent tables.",https://docs.snowflake.com/en/user-guide/tables-temp-transient#transient-tables,,Performance Concepts
876,"When initially creating an account in Snowflake, which settings can be specified? (Choose two.)","B,C",Organization name,Account name,Snowflake edition,Account locator,Region,,"Be cautious with this question, it asks you to choose 2 options but actually there are 3 correct options: Account name, Region, Snowflake edition. In the real exam choosing 2 of the 3 valid options will be counted as a correct question.",https://docs.snowflake.com/en/sql-reference/sql/create-account#required-parameters,,Data Transformations
877,Which data types are valid in Snowflake? (Choose two.),"A,C",Geography,BLOB,Variant,CLOB,JSON,,,https://docs.snowflake.com/en/sql-reference/intro-summary-data-types,,Data Transformations
878,"How can an administrator check for updates (for example, SCIM API requests) sent to Snowflake by the identity provider?",A,REST_EVENT_HISTORY,QUERY_HISTORY,ACCESS_HISTORY,LOAD_HISTORY,,,Administrators can query the rest_event_history table to determine whether the identity provider is sending updates (i.e. SCIM API requests) to Snowflake.,https://docs.snowflake.com/en/user-guide/scim-intro,,Account Access and Security
879,"Which function will return a row for each for each object in a VARIANT, OBJECT, or ARRAY column?",D,CAST,GET,PARSE_JSON,FLATTEN,,,"The FLATTEN function is a table function that takes a VARIANT, OBJECT, or ARRAY column and returns a row for each element or attribute within the column.",https://docs.snowflake.com/en/sql-reference/functions/flatten,,Data Transformations
880,A complex SQL query involving eight tables with joins is taking a while to execute. The Query Profile shows that all partitions are being scanned. What is causing the query performance issue?,A,Pruning is not being performed efficiently.,The columns in the micro-partitions need granular ordering based on the dataset.,"Incorrect joins are being used, leading to scanning and pulling too many records.","A huge volume of data is being fetched, with many joins applied.",,,"Key is: Query Profile shows that all partitions are being scanned.\n

The efficiency of pruning can be observed by comparing Partitions scanned and Partitions total statistics in the TableScan operators. If the former is a small fraction of the latter, pruning is efficient. If not, the pruning did not have an effect.",https://docs.snowflake.com/en/user-guide/ui-query-profile#inefficient-pruning,,"Snowflake AI Data Cloud Features and Architecture, Performance Concepts"
881,"If file format options are specified in multiple locations, the load operation selects which option FIRST to apply in order of precedence?",A,COPY INTO TABLE statement,Stage definition,Session level,Table definition,,,"If file format options are specified in multiple locations, the load operation applies the options in the following order of precedence:\n
COPY INTO TABLE statement.\n
Stage definition.\n
Table definition.",https://docs.snowflake.com/en/user-guide/data-load-prepare#overriding-default-file-format-options,,Data Loading and Unloading
882,Other than ownership what privileges does a user need to view and modify resource monitors in Snowflake? (Choose two.),"B,D",ALTER,MODIFY,CREATE,MONITOR,DROP,,,https://docs.snowflake.com/en/user-guide/security-access-control-privileges#resource-monitor-privileges,,Account Access and Security
883,What unit of storage supports efficient query processing in Snowflake?,D,Block storage,JSON,Blobs,Micro-partitions,,,,https://docs.snowflake.com/en/user-guide/tables-clustering-micropartitions,,Performance Concepts
